year,team,conference,sp_defense,sos_z,sos_score
2020,Wyoming,Mountain West,41,-0.6447901554864031,43.55209844513597
2020,Ohio,Mid-American,96,0.8150735594368973,58.150735594368975
2020,Western Kentucky,Conference USA,27,-1.0163918283759703,39.8360817162403
2020,Arizona,Big 12,116,1.3459330921362793,63.45933092136279
2020,Toledo,Mid-American,96,0.8150735594368973,58.150735594368975
2020,Duke,ACC,45,-0.5386182489465267,44.61381751053473
2020,Texas Tech,Big 12,94,0.7619876061669592,57.61987606166959
2020,Florida State,ACC,89,0.6292727229921137,56.292727229921134
2020,Illinois,Big Ten,73,0.2045850968326081,52.04585096832608
2020,Fresno State,Mountain West,109,1.1601322556914957,61.60132255691496
2020,Air Force,Mountain West,78,0.3372999800074536,53.37299980007454
2020,Georgia State,Sun Belt,106,1.0805033257865884,60.80503325786589
2020,Arkansas State,Sun Belt,122,1.5051909519460938,65.05190951946093
2020,Colorado State,Mountain West,85,0.5231008164522373,55.23100816452237
2020,Charlotte,American Athletic,113,1.266304162231372,62.66304162231372
2020,Ball State,Mid-American,104,1.02741737251665,60.2741737251665
2020,Louisiana Tech,Conference USA,90,0.6558156996270827,56.558156996270824
2020,Hawai'i,Mountain West,111,1.2132182089614338,62.13218208961434
2020,Kent State,Mid-American,116,1.3459330921362793,63.45933092136279
2020,Southern Miss,Sun Belt,93,0.7354446295319901,57.3544462953199
2020,North Texas,American Athletic,118,1.3990190454062175,63.99019045406217
2020,Rice,American Athletic,55,-0.27318848259683565,47.26811517403164
2020,Navy,American Athletic,112,1.2397611855964028,62.39761185596403
2020,UTSA,American Athletic,101,0.9477884426117428,59.47788442611743
2020,Syracuse,ACC,82,0.44347188654732994,54.4347188654733
2020,Temple,American Athletic,96,0.8150735594368973,58.150735594368975
2020,Rutgers,Big Ten,91,0.6823586762620518,56.82358676262052
2020,Florida International,Conference USA,95,0.7885305828019282,57.885305828019284
2020,East Carolina,American Athletic,121,1.4786479753111248,64.78647975311125
2020,South Alabama,Sun Belt,101,0.9477884426117428,59.47788442611743
2020,South Florida,American Athletic,75,0.25767105010254626,52.57671050102546
2020,Middle Tennessee,Conference USA,113,1.266304162231372,62.66304162231372
2020,Eastern Michigan,Mid-American,127,1.6379058351209392,66.3790583512094
2020,Miami (OH),Mid-American,100,0.9212454659767737,59.21245465976774
2020,Texas State,Sun Belt,119,1.4255620220411866,64.25562022041187
2020,New Mexico,Mountain West,124,1.5582769052160321,65.58276905216032
2020,Old Dominion,Sun Belt,79,0.36384295664242267,53.63842956642423
2020,Kansas,Big 12,107,1.1070463024215573,61.07046302421557
2020,Utah State,Mountain West,120,1.4521049986761556,64.52104998676155
2020,Vanderbilt,SEC,105,1.0539603491516192,60.53960349151619
2020,Northern Illinois,Mid-American,107,1.1070463024215573,61.07046302421557
2020,UL Monroe,Sun Belt,125,1.584819881851001,65.84819881851001
2020,UTEP,Conference USA,115,1.3193901155013101,63.1939011550131
2020,UNLV,Mountain West,128,1.6644488117559084,66.64448811755909
2020,UConn,FBS Independents,126,1.6113628584859703,66.1136285848597
2020,Akron,Mid-American,110,1.1866752323264647,61.86675232326465
2020,Bowling Green,Mid-American,123,1.531733928581063,65.31733928581063
2020,Massachusetts,Mid-American,130,1.7175347650258466,67.17534765025846
2020,New Mexico State,Conference USA,129,1.6909917883908776,66.90991788390878
2021,Georgia,SEC,1,-1.70308073881904,32.9691926118096
2021,Ohio State,Big Ten,20,-1.199295178952809,38.00704821047191
2021,Alabama,SEC,9,-1.4909605030858903,35.090394969141094
2021,Michigan,Big Ten,10,-1.4644454736192465,35.355545263807535
2021,Cincinnati,Big 12,11,-1.4379304441526028,35.62069555847397
2021,Texas A&M,SEC,7,-1.5439905620191776,34.56009437980822
2021,Wisconsin,Big Ten,2,-1.6765657093523965,33.23434290647604
2021,Clemson,ACC,3,-1.6500506798857526,33.49949320114247
2021,Pittsburgh,ACC,29,-0.9606599137530154,40.393400862469846
2021,Tennessee,SEC,47,-0.48338938335342807,45.16610616646572
2021,Notre Dame,FBS Independents,15,-1.3318703262860279,36.68129673713972
2021,Oklahoma State,Big 12,4,-1.623535650419109,33.76464349580891
2021,Oklahoma,SEC,57,-0.21823908868699068,47.817609113130096
2021,NC State,ACC,14,-1.3583853557526715,36.416146442473284
2021,Baylor,Big 12,12,-1.411415414685959,35.88584585314041
2021,Utah,Big 12,21,-1.1727801494861654,38.27219850513835
2021,Ole Miss,SEC,36,-0.7750547074865093,42.249452925134904
2021,Minnesota,Big Ten,8,-1.517475532552534,34.82524467447466
2021,Iowa State,Big 12,19,-1.2258102084194529,37.74189791580547
2021,Penn State,Big Ten,6,-1.5705055914858215,34.294944085141786
2021,Kansas State,Big 12,16,-1.305355296819384,36.94644703180616
2021,Arkansas,SEC,27,-1.013689972686303,39.86310027313697
2021,Kentucky,SEC,35,-0.8015697369531529,41.98430263046847
2021,Western Kentucky,Conference USA,90,0.6567568837122528,56.56756883712253
2021,Coastal Carolina,Sun Belt,62,-0.08566394135377196,49.14336058646228
2021,Arizona State,Big 12,24,-1.093235061086234,39.06764938913766
2021,Iowa,Big Ten,5,-1.597020620952465,34.02979379047535
2021,Michigan State,Big Ten,30,-0.9341448842863717,40.65855115713629
2021,Florida,SEC,39,-0.695509619086578,43.04490380913422
2021,Auburn,SEC,17,-1.2788402673527404,37.2115973264726
2021,Houston,Big 12,18,-1.2523252378860965,37.47674762113903
2021,Miami,ACC,51,-0.37732926548685314,46.226707345131466
2021,Fresno State,Mountain West,49,-0.4303593244201406,45.69640675579859
2021,Mississippi State,SEC,33,-0.8545997958864404,41.454002041135595
2021,App State,Sun Belt,41,-0.6424795601532906,43.57520439846709
2021,Nebraska,Big Ten,27,-1.013689972686303,39.86310027313697
2021,Purdue,Big Ten,25,-1.0667200316195904,39.3327996838041
2021,Oregon,Big Ten,60,-0.13869400028705944,48.613059997129405
2021,Wake Forest,ACC,92,0.7097869426455402,57.097869426455404
2021,Texas Tech,Big 12,69,0.09994126491273421,50.99941264912734
2021,UCLA,Big Ten,76,0.2855464711792404,52.85546471179241
2021,Boise State,Mountain West,23,-1.1197500905528779,38.80249909447122
2021,UAB,American Athletic,30,-0.9341448842863717,40.65855115713629
2021,Oregon State,Pac-12,87,0.5772117953123216,55.772117953123214
2021,SMU,ACC,69,0.09994126491273421,50.99941264912734
2021,BYU,Big 12,78,0.33857653011252786,53.385765301125275
2021,Louisiana,Sun Belt,26,-1.0402050021529465,39.59794997847054
2021,Texas,SEC,85,0.5241817363790341,55.24181736379034
2021,Liberty,Conference USA,38,-0.7220246485532218,42.779753514467785
2021,San Diego State,Mountain West,12,-1.411415414685959,35.88584585314041
2021,Marshall,Sun Belt,41,-0.6424795601532906,43.57520439846709
2021,Louisville,ACC,64,-0.03263388242048449,49.673661175795154
2021,Florida State,ACC,37,-0.7485396780198655,42.514603219801344
2021,Air Force,Mountain West,33,-0.8545997958864404,41.454002041135595
2021,Virginia,ACC,100,0.9219071783786902,59.2190717837869
2021,Toledo,Mid-American,21,-1.1727801494861654,38.27219850513835
2021,Washington State,Pac-12,60,-0.13869400028705944,48.613059997129405
2021,UTSA,American Athletic,76,0.2855464711792404,52.85546471179241
2021,North Carolina,ACC,101,0.9484222078453339,59.48422207845334
2021,Maryland,Big Ten,74,0.23251641224595293,52.325164122459526
2021,Tulsa,American Athletic,48,-0.4568743538867843,45.43125646113216
2021,UCF,Big 12,40,-0.6689945896199343,43.31005410380066
2021,Army,American Athletic,41,-0.6424795601532906,43.57520439846709
2021,Illinois,Big Ten,32,-0.8811148253530842,41.188851746469155
2021,LSU,SEC,57,-0.21823908868699068,47.817609113130096
2021,South Carolina,SEC,49,-0.4303593244201406,45.69640675579859
2021,Nevada,Mountain West,68,0.07342623544609048,50.7342623544609
2021,California,ACC,51,-0.37732926548685314,46.226707345131466
2021,Missouri,SEC,97,0.8423620899787589,58.42362089978759
2021,Virginia Tech,ACC,54,-0.2977841770869219,47.02215822913078
2021,Georgia State,Sun Belt,65,-0.006118852953840747,49.938811470461594
2021,West Virginia,Big 12,51,-0.37732926548685314,46.226707345131466
2021,Miami (OH),Mid-American,67,0.046911205979446736,50.46911205979447
2021,Memphis,American Athletic,78,0.33857653011252786,53.385765301125275
2021,Boston College,ACC,63,-0.05914891188712823,49.40851088112872
2021,Wyoming,Mountain West,41,-0.6424795601532906,43.57520439846709
2021,Western Michigan,Mid-American,91,0.6832719131788966,56.83271913178896
2021,East Carolina,American Athletic,83,0.4711516774457466,54.711516774457465
2021,Syracuse,ACC,54,-0.2977841770869219,47.02215822913078
2021,Utah State,Mountain West,78,0.33857653011252786,53.385765301125275
2021,USC,Big Ten,106,1.0809973551785526,60.809973551785525
2021,TCU,Big 12,109,1.160542443578484,61.60542443578484
