Rank,Player (Team / Bye),POS,AVG
268,Oscar Delp   NO (8),TE40,254.5
269,Darius Slayton   NYG (8),WR108,247.0
270,Ja'Tavion Sanders   CAR (5),TE41,248.0
271,Devontez Walker   BAL (13),WR109,249.0
272,Najee Harris   LAC (7),RB85,259.0
273,J.J. McCarthy   MIN (6),QB38,264.0
274,LeQuint Allen Jr.   JAC (7),RB86,260.0
275,Elijah Arroyo   SEA (11),TE42,266.0
276,Jahan Dotson   ATL (11),WR110,266.0
277,Dawson Knox   BUF (7),TE43,260.0
278,Kareem Hunt,RB87,330.5
279,Elic Ayomanor   TEN (9),WR111,264.0
280,Charlie Kolar   LAC (7),TE44,265.0
281,Devin Neal   NO (8),RB88,307.5
282,Brenen Thompson   LAC (7),WR112,267.0
283,Cole Kmet   CHI (10),TE45,271.0
284,Kalif Raymond   CHI (10),WR113,275.0
285,Savion Williams   GB (11),WR114,276.0
286,Bryce Lance   NO (8),WR115,277.0
287,Isaiah Bond   CLE (11),WR116,280.0
288,Treylon Burks   WAS (7),WR117,281.0
289,Kyle Williams   NE (11),WR118,282.0
290,Kendrick Bourne   ARI (14),WR119,283.0
291,Erick All Jr.   CIN (6),TE46,284.0
292,Xavier Legette   CAR (5),WR120,285.0
293,Eli Raridon   NE (11),TE47,286.0
294,Stone Smartt   PHI (10),TE48,287.0
295,Davis Allen   LAR (11),TE49,288.0
296,Scotty Miller   CHI (10),WR121,289.0
297,Justin Joly   DEN (10),TE50,290.0
298,Tez Johnson   TB (10),WR122,291.0
299,Cyrus Allen   KC (5),WR123,292.0
300,Trevor Etienne   CAR (5),RB89,293.0
301,Odell Beckham Jr.   NYG (8),WR124,294.0
302,J. Michael Sturdivant   GB (11),WR125,296.0
303,Joshua Cephus,WR126,297.0
304,Marvin Mims Jr.   DEN (10),WR127,298.0
305,Kevin Coleman Jr.   MIA (6),WR128,299.0
306,Tahj Brooks   CIN (6),RB90,300.0
307,Ashton Dulin   IND (13),WR129,301.0
308,Deontay Burnett,WR130,302.0
309,Zach Ertz,TE51,303.0
310,Nick Boyle,TE52,304.0
311,Curtis Samuel,WR131,305.0
312,Malik Benson   LV (13),WR132,306.0
313,Tutu Atwell   MIA (6),WR133,308.0
314,Joshua Palmer   BUF (7),WR134,309.0
315,Colbie Young   CIN (6),WR135,310.0
316,Dont'e Thornton Jr.   LV (13),WR136,311.0
317,Cade Klubnik   NYJ (13),QB39,312.0
318,Dyami Brown   WAS (7),WR137,313.0
319,Chris Myarick,TE53,314.0
320,Noah Brown,WR138,315.0
321,KaVontae Turpin   DAL (14),WR139,316.0
322,Anthony Richardson Sr.   IND (13),QB40,318.0
323,Isaiah Davis   NYJ (13),RB91,319.0
324,Calvin Austin III   NYG (8),WR140,320.0
325,Seth McGowan   IND (13),RB92,321.0
326,Ben Sinnott   WAS (7),TE54,322.0
327,Nick Westbrook-Ikhine   IND (13),WR141,323.0
328,Damien Martinez   GB (11),RB93,324.0
329,Darren Waller,TE55,325.0
330,Dallin Holker,TE56,326.0
331,Joel Wilson   TEN (9),TE57,327.0
332,Jaylin Lane   WAS (7),WR142,328.0
333,Mack Hollins   NE (11),WR143,329.0
334,Noah Gray   KC (5),TE58,330.0
335,Max Klare   LAR (11),TE59,331.0
336,Jalen Royals   KC (5),WR144,332.0
337,Tanner Koziol   JAC (7),TE60,333.0
338,Mitchell Evans   CAR (5),TE61,334.0
339,Greg Dortch   DET (6),WR145,335.0
340,Deion Burks   IND (13),WR146,336.0
341,Roman Wilson   PIT (9),WR147,337.0
342,Jordan Whittington   LAR (11),WR148,338.0
343,Jameis Winston   NYG (8),QB41,339.0
344,Tyson Bagent   CHI (10),QB42,340.0
345,Phil Mafah   DAL (14),RB94,341.0
346,Noah Togiai,TE62,342.0
347,Eli Heidenreich   PIT (9),RB95,343.0
